obs_date,ccy,near_date,far_date,near_pts,far_pts,spot,imm_spread_pts,leg_days,days_to_near,ann_pct,pair,quarter_pair
2016-08-29,INR,2016-09-21,2016-12-21,0.19050388761552267,0.9442366603551993,74.54499950172627,0.7537327727396765,91,23,3.989803834644838,Sep16-Dec16,Sep-Dec
2016-08-30,INR,2016-09-21,2016-12-21,0.17801531608667726,0.9143513962633877,74.69600403918999,0.7363360801767105,91,22,3.890505578147401,Sep16-Dec16,Sep-Dec
2016-08-31,INR,2016-09-21,2016-12-21,0.17212617597100793,0.9180062718453756,73.92119316757964,0.7458800958743677,91,21,3.9824568144065813,Sep16-Dec16,Sep-Dec
2016-09-01,INR,2016-09-21,2016-12-21,0.16545247213924272,0.9248528294843293,73.56235768470026,0.7594003573450866,91,20,4.074746269422411,Sep16-Dec16,Sep-Dec
2016-09-02,INR,2016-09-21,2016-12-21,0.15886637526708186,0.9259666221082059,72.99724509441928,0.7671002468411241,91,19,4.148227993847288,Sep16-Dec16,Sep-Dec
2016-09-05,INR,2016-09-21,2016-12-21,0.1376914067024474,0.92606131151339,73.23790721128304,0.7883699048109426,91,16,4.2504947909070125,Sep16-Dec16,Sep-Dec
2016-09-06,INR,2016-09-21,2016-12-21,0.128170675107314,0.9106487078894998,73.04994451147498,0.7824780327821859,91,15,4.230113722432524,Sep16-Dec16,Sep-Dec
2016-09-07,INR,2016-09-21,2016-12-21,0.12009691841640328,0.9053271128614618,73.34072582994231,0.7852301944450586,91,14,4.228655559002609,Sep16-Dec16,Sep-Dec
2016-09-08,INR,2016-09-21,2016-12-21,0.11087612210727164,0.8912989431347553,73.655420994855,0.7804228210274837,91,13,4.1853625638674,Sep16-Dec16,Sep-Dec
2016-09-09,INR,2016-09-21,2016-12-21,0.10396676729958018,0.8963515420420695,73.84428260451612,0.7923847747424893,91,12,4.239057754051501,Sep16-Dec16,Sep-Dec
2016-09-12,INR,2016-09-21,2016-12-21,0.07869250983133777,0.8773305659253097,73.63977031237938,0.7986380560939719,91,9,4.285828995779436,Sep16-Dec16,Sep-Dec
2016-09-13,INR,2016-09-21,2016-12-21,0.06941007153021182,0.8615741619091939,73.22429556674913,0.792164090378982,91,8,4.275723180657563,Sep16-Dec16,Sep-Dec
2016-09-14,INR,2016-09-21,2016-12-21,0.05932777118634686,0.8328858657675476,73.24369088856243,0.7735580945812007,91,7,4.174766443004992,Sep16-Dec16,Sep-Dec
2016-09-15,INR,2016-09-21,2016-12-21,0.05926539230549272,0.8232094876260426,72.92985466879513,0.7639440953205499,91,6,4.140612215243051,Sep16-Dec16,Sep-Dec
2016-09-16,INR,2016-09-21,2016-12-21,0.058618932564003925,0.8055498296839001,72.89891607716089,0.7469308971198961,91,5,4.050152545230298,Sep16-Dec16,Sep-Dec
2016-09-19,INR,2016-09-21,2016-12-21,0.05820155967118091,0.7739023373630958,72.87977611398176,0.7157007776919149,91,2,3.8818511648244507,Sep16-Dec16,Sep-Dec
2016-09-20,INR,2016-09-21,2016-12-21,0.059528460961792706,0.7826971515938824,72.1144109208108,0.7231686906320898,91,1,3.963878308820496,Sep16-Dec16,Sep-Dec
2016-09-21,INR,2016-12-21,2017-03-15,0.790097767194038,1.5294754327131423,72.40787746332767,0.7393776655191043,84,91,4.32902879304239,Dec16-Mar17,Dec-Mar
2016-09-22,INR,2016-12-21,2017-03-15,0.7486205606531137,1.4573555786816126,72.16196221626868,0.7087350180284989,84,90,4.165973821446599,Dec16-Mar17,Dec-Mar
2016-09-23,INR,2016-12-21,2017-03-15,0.7271494089202253,1.4234809549899419,72.23923827552993,0.6963315460697166,84,89,4.089935310338046,Dec16-Mar17,Dec-Mar
2016-09-26,INR,2016-12-21,2017-03-15,0.7056207330597007,1.4048092677043524,71.83861973792285,0.6991885346446517,84,86,4.130613639180357,Dec16-Mar17,Dec-Mar
2016-09-27,INR,2016-12-21,2017-03-15,0.6967058972494007,1.3951798363431853,71.74498904657274,0.6984739390937846,84,85,4.132233158396899,Dec16-Mar17,Dec-Mar
2016-09-28,INR,2016-12-21,2017-03-15,0.6883656762890226,1.3867611048379773,72.2142162715102,0.6983954285489548,84,84,4.105647818280219,Dec16-Mar17,Dec-Mar
2016-09-29,INR,2016-12-21,2017-03-15,0.6839862922990951,1.3862767001001668,72.45588095696012,0.7022904078010717,84,83,4.115151075098078,Dec16-Mar17,Dec-Mar
