obs_date,ccy,slot,near_date,far_date,near_pts,far_pts,spot,imm_spread_pts,leg_days,days_to_near,ann_pct,pair,quarter_pair
2016-08-29,PHP,0,2016-09-21,2016-12-21,0.0831411135684475,0.4120907368175224,52.05356675589757,0.3289496232490749,91,23,2.4960133120710717,Sep16-Dec16,Sep-Dec
2016-08-30,PHP,0,2016-09-21,2016-12-21,0.07797786983819366,0.40052269507799476,51.8647512388318,0.3225448252398011,91,22,2.4565546099313225,Sep16-Dec16,Sep-Dec
2016-08-31,PHP,0,2016-09-21,2016-12-21,0.07672053198782769,0.40917617060174766,51.78628677415177,0.33245563861391997,91,21,2.5359291489362357,Sep16-Dec16,Sep-Dec
2016-09-01,PHP,0,2016-09-21,2016-12-21,0.07302418116877861,0.41176680764504736,51.67560006208526,0.33874262647626874,91,20,2.5895968051760683,Sep16-Dec16,Sep-Dec
2016-09-02,PHP,0,2016-09-21,2016-12-21,0.07323123980432766,0.43014998175945385,51.85327061661918,0.3569187419551262,91,19,2.7192015279876105,Sep16-Dec16,Sep-Dec
2016-09-05,PHP,0,2016-09-21,2016-12-21,0.05696890275452948,0.38617485966049825,51.76767766405245,0.32920595690596877,91,16,2.5129997450782433,Sep16-Dec16,Sep-Dec
2016-09-06,PHP,0,2016-09-21,2016-12-21,0.05058226255052987,0.36232831914043634,51.8709407831252,0.31174605658990645,91,15,2.3752791340657406,Sep16-Dec16,Sep-Dec
2016-09-07,PHP,0,2016-09-21,2016-12-21,0.04519715750825,0.34357042967362345,52.289705833788666,0.29837327216537346,91,14,2.255431294467474,Sep16-Dec16,Sep-Dec
2016-09-08,PHP,0,2016-09-21,2016-12-21,0.04286264850972116,0.3471865470910488,52.554512734285964,0.30432389858132763,91,13,2.2889330710904963,Sep16-Dec16,Sep-Dec
2016-09-09,PHP,0,2016-09-21,2016-12-21,0.0393055470117253,0.3413213843271259,52.46226290185435,0.3020158373154006,91,12,2.275718541637128,Sep16-Dec16,Sep-Dec
2016-09-12,PHP,0,2016-09-21,2016-12-21,0.029632953355948434,0.3322125154746871,52.38961358714659,0.30257956211873865,91,9,2.283546840028276,Sep16-Dec16,Sep-Dec
2016-09-13,PHP,0,2016-09-21,2016-12-21,0.026522923653011128,0.33085484197157217,52.48511661364989,0.30433191831856105,91,8,2.292730634015279,Sep16-Dec16,Sep-Dec
2016-09-14,PHP,0,2016-09-21,2016-12-21,0.023509250383178124,0.3314186292020645,52.135963320999686,0.30790937881888636,91,7,2.3353438542129616,Sep16-Dec16,Sep-Dec
2016-09-15,PHP,0,2016-09-21,2016-12-21,0.022420582918256493,0.3126405722245578,51.95649031001282,0.29021998930630133,91,6,2.208824723132992,Sep16-Dec16,Sep-Dec
2016-09-16,PHP,0,2016-09-21,2016-12-21,0.02341927905303172,0.32281135986035003,52.05903103448284,0.29939208080731833,91,5,2.274102360075448,Sep16-Dec16,Sep-Dec
2016-09-19,PHP,0,2016-09-21,2016-12-21,0.023008971135150626,0.3063433621308404,52.03315092971178,0.2833343909956898,91,2,2.1532193445941465,Sep16-Dec16,Sep-Dec
2016-09-20,PHP,0,2016-09-21,2016-12-21,0.023825559429475302,0.3134648328469727,52.43747872372364,0.2896392734174974,91,1,2.184134978520166,Sep16-Dec16,Sep-Dec
2016-09-21,PHP,0,2016-12-21,2017-03-15,0.3057588852692473,0.5981688408761067,52.30792074390494,0.29240995560685934,84,91,2.381862536249026,Dec16-Mar17,Dec-Mar
2016-09-22,PHP,0,2016-12-21,2017-03-15,0.30579371539060796,0.6013296671892535,52.089346803830296,0.29553595179864556,84,90,2.4173666451013456,Dec16-Mar17,Dec-Mar
2016-09-23,PHP,0,2016-12-21,2017-03-15,0.3031954160098922,0.5994498879235227,51.90431781277332,0.2962544719136305,84,89,2.431952690263322,Dec16-Mar17,Dec-Mar
2016-09-26,PHP,0,2016-12-21,2017-03-15,0.28882603372787874,0.5810282560245849,51.90723295265259,0.2922022222967061,84,86,2.3992141604814203,Dec16-Mar17,Dec-Mar
2016-09-27,PHP,0,2016-12-21,2017-03-15,0.27966797981046954,0.5661323301928909,51.87385079554554,0.28646435038242135,84,85,2.3540201842755515,Dec16-Mar17,Dec-Mar
2016-09-28,PHP,0,2016-12-21,2017-03-15,0.2874047835503943,0.584986538625087,52.33871069639236,0.2975817550746927,84,84,2.423417284860476,Dec16-Mar17,Dec-Mar
2016-09-29,PHP,0,2016-12-21,2017-03-15,0.28637696045556477,0.5863649830650774,52.25522055007923,0.2999880226095127,84,83,2.4469430222082065,Dec16-Mar17,Dec-Mar
2016-09-30,PHP,0,2016-12-21,2017-03-15,0.291076294805956,0.5994149617942249,52.266601839998444,0.30833866698826895,84,82,2.514288067597554,Dec16-Mar17,Dec-Mar
2016-10-03,PHP,0,2016-12-21,2017-03-15,0.28662785375805166,0.5889696172164807,52.451781828084314,0.302341763458429,84,79,2.456938733342153,Dec16-Mar17,Dec-Mar
2016-10-04,PHP,0,2016-12-21,2017-03-15,0.26673407624432516,0.5521825066031267,52.42913162861801,0.2854484303588016,84,78,2.321530160781769,Dec16-Mar17,Dec-Mar
2016-10-05,PHP,0,2016-12-21,2017-03-15,0.27656113460757525,0.5770876604260047,52.54578117004954,0.3005265258184294,84,77,2.438306914728683,Dec16-Mar17,Dec-Mar
2016-10-06,PHP,0,2016-12-21,2017-03-15,0.2774387981279934,0.5835430809327588,52.62884947192498,0.30610428280476537,84,76,2.479621119966722,Dec16-Mar17,Dec-Mar
2016-10-07,PHP,0,2016-12-21,2017-03-15,0.27661546022872086,0.5865342979741297,52.80538945571806,0.30991883774540885,84,75,2.5022106690217556,Dec16-Mar17,Dec-Mar
2016-10-10,PHP,0,2016-12-21,2017-03-15,0.2645046362586295,0.5751921119567779,52.508850999081346,0.31068747569814836,84,72,2.523087146841257,Dec16-Mar17,Dec-Mar
2016-10-11,PHP,0,2016-12-21,2017-03-15,0.25661043367268793,0.5629950773947705,52.67880241946789,0.3063846437220826,84,71,2.4805266904521783,Dec16-Mar17,Dec-Mar
2016-10-12,PHP,0,2016-12-21,2017-03-15,0.24738809868549716,0.547734545424281,52.649672009553576,0.30034644673878386,84,70,2.433403774837441,Dec16-Mar17,Dec-Mar
2016-10-13,PHP,0,2016-12-21,2017-03-15,0.24397084887803822,0.5451659682812846,52.689106334734014,0.3011951194032464,84,69,2.4386192805989952,Dec16-Mar17,Dec-Mar
2016-10-14,PHP,0,2016-12-21,2017-03-15,0.25647383456898665,0.5781884578332163,52.60767863386274,0.3217146232642296,84,68,2.6081510673419444,Dec16-Mar17,Dec-Mar
2016-10-17,PHP,0,2016-12-21,2017-03-15,0.23649051176661995,0.5492590975121914,52.95795440719126,0.3127685857455714,84,65,2.5198811607013587,Dec16-Mar17,Dec-Mar
2016-10-18,PHP,0,2016-12-21,2017-03-15,0.23307454336860825,0.5468364377844183,52.52609055561897,0.31376189441581004,84,64,2.54873978897823,Dec16-Mar17,Dec-Mar
2016-10-19,PHP,0,2016-12-21,2017-03-15,0.23221744366611902,0.5505137661193473,52.82091750155175,0.3182963224532283,84,63,2.571246916203331,Dec16-Mar17,Dec-Mar
2016-10-20,PHP,0,2016-12-21,2017-03-15,0.2291387361169218,0.5490236311831354,52.67764903371563,0.31988489506621354,84,62,2.5912275576692574,Dec16-Mar17,Dec-Mar
2016-10-21,PHP,0,2016-12-21,2017-03-15,0.22168561906648346,0.5372633320723841,53.000809611034796,0.31557771300590065,84,61,2.5411734399808847,Dec16-Mar17,Dec-Mar
2016-10-24,PHP,0,2016-12-21,2017-03-15,0.21598755146987153,0.5391532869131771,53.26034473086382,0.32316573544330557,84,58,2.589923336047985,Dec16-Mar17,Dec-Mar
2016-10-25,PHP,0,2016-12-21,2017-03-15,0.1996981786963724,0.5043885407290025,53.47701882989153,0.3046903620326301,84,57,2.432741624406289,Dec16-Mar17,Dec-Mar
2016-10-26,PHP,0,2016-12-21,2017-03-15,0.1933253053557264,0.4937460743250197,53.65445624076168,0.3004207689692933,84,56,2.391031801735912,Dec16-Mar17,Dec-Mar
2016-10-27,PHP,0,2016-12-21,2017-03-15,0.18673642220455228,0.4824616831436496,54.14305431908276,0.29572526093909735,84,55,2.332779048401726,Dec16-Mar17,Dec-Mar
2016-10-28,PHP,0,2016-12-21,2017-03-15,0.17702780361777382,0.4629071785940286,54.0143566499773,0.28587937497625476,84,54,2.2608710474558387,Dec16-Mar17,Dec-Mar
2016-10-31,PHP,0,2016-12-21,2017-03-15,0.1763800942802885,0.47736688498621493,53.888914936942406,0.30098679070592643,84,51,2.385899102177775,Dec16-Mar17,Dec-Mar
2016-11-01,PHP,0,2016-12-21,2017-03-15,0.1843832123051906,0.4865279327472724,53.74771854230415,0.3021447204420818,84,50,2.4009929200304074,Dec16-Mar17,Dec-Mar
2016-11-02,PHP,0,2016-12-21,2017-03-15,0.18705361785713998,0.500756061390067,53.946985578961346,0.31370244353292703,84,49,2.483537278318515,Dec16-Mar17,Dec-Mar
2016-11-03,PHP,0,2016-12-21,2017-03-15,0.1859746332104255,0.5052027105618615,53.667369388097484,0.319228077351436,84,48,2.5404556696884444,Dec16-Mar17,Dec-Mar
2016-11-04,PHP,0,2016-12-21,2017-03-15,0.1766983812718717,0.48696250035850813,53.884875624878624,0.3102641190866364,84,47,2.4596090512697875,Dec16-Mar17,Dec-Mar
2016-11-07,PHP,0,2016-12-21,2017-03-15,0.16707536376786314,0.48275351561602775,53.82274122239364,0.3156781518481646,84,44,2.5058547159619544,Dec16-Mar17,Dec-Mar
2016-11-08,PHP,0,2016-12-21,2017-03-15,0.16214903781580925,0.4764192840495788,53.59336241648316,0.31427024623376953,84,43,2.5055523562529696,Dec16-Mar17,Dec-Mar
2016-11-09,PHP,0,2016-12-21,2017-03-15,0.1632846609765295,0.48818041682807234,53.36285055119776,0.32489575585154284,84,42,2.601365438960755,Dec16-Mar17,Dec-Mar
2016-11-10,PHP,0,2016-12-21,2017-03-15,0.15780948440691764,0.4802801498215509,53.193048805124796,0.3224706654146332,84,41,2.5904309355084494,Dec16-Mar17,Dec-Mar
2016-11-11,PHP,0,2016-12-21,2017-03-15,0.15127125361142296,0.46894088619541124,52.87779814284044,0.3176696325839883,84,40,2.567348999328058,Dec16-Mar17,Dec-Mar
2016-11-14,PHP,0,2016-12-21,2017-03-15,0.13805583021588946,0.4541746358249724,52.98665402471873,0.31611880560908295,84,37,2.550216057426478,Dec16-Mar17,Dec-Mar
2016-11-15,PHP,0,2016-12-21,2017-03-15,0.13491358561499442,0.45338031871778717,53.16749612040535,0.3184667331027927,84,36,2.560592354287548,Dec16-Mar17,Dec-Mar
2016-11-16,PHP,0,2016-12-21,2017-03-15,0.13092107991977533,0.44981843993730636,53.37176859630974,0.318897360017531,84,35,2.5544565698926,Dec16-Mar17,Dec-Mar
2016-11-17,PHP,0,2016-12-21,2017-03-15,0.1304809042299274,0.45856160925133604,53.23818978939934,0.3280807050214086,84,34,2.634617175400779,Dec16-Mar17,Dec-Mar
2016-11-18,PHP,0,2016-12-21,2017-03-15,0.1286506739792687,0.462933553310117,53.30380494981135,0.3342828793308483,84,33,2.6812185490873004,Dec16-Mar17,Dec-Mar
2016-11-21,PHP,0,2016-12-21,2017-03-15,0.11969832837083542,0.4652184923716295,53.304914892625085,0.34552016400079405,84,30,2.7717574608075206,Dec16-Mar17,Dec-Mar
2016-11-22,PHP,0,2016-12-21,2017-03-15,0.11981590369521888,0.4772624208578297,53.45256720898443,0.35744651716261083,84,29,2.8595211860568286,Dec16-Mar17,Dec-Mar
2016-11-23,PHP,0,2016-12-21,2017-03-15,0.11795470504753829,0.48223088618706855,53.54776798413583,0.36427618113953025,84,28,2.9090889961494844,Dec16-Mar17,Dec-Mar
2016-11-24,PHP,0,2016-12-21,2017-03-15,0.1151318847728835,0.483735797394664,53.567108545877595,0.3686039126217805,84,27,2.9427442696511794,Dec16-Mar17,Dec-Mar
2016-11-25,PHP,0,2016-12-21,2017-03-15,0.10978686560928522,0.47482158196561514,53.17040058816619,0.3650347163563299,84,26,2.936240605435625,Dec16-Mar17,Dec-Mar
2016-11-28,PHP,0,2016-12-21,2017-03-15,0.09612255599950763,0.457510649896741,53.13498387825011,0.36138809389723336,84,23,2.909588435129562,Dec16-Mar17,Dec-Mar
2016-11-29,PHP,0,2016-12-21,2017-03-15,0.09170288491493528,0.45217755842454543,53.158554784720366,0.36047467350961016,84,22,2.9011905772979536,Dec16-Mar17,Dec-Mar
2016-11-30,PHP,0,2016-12-21,2017-03-15,0.08842122645268649,0.45241383204284213,53.01102743696332,0.36399260559015567,84,21,2.9378239302640146,Dec16-Mar17,Dec-Mar
2016-12-01,PHP,0,2016-12-21,2017-03-15,0.08241548966773621,0.4388571537006026,52.9539810602105,0.35644166403286637,84,20,2.8802996261874103,Dec16-Mar17,Dec-Mar
2016-12-02,PHP,0,2016-12-21,2017-03-15,0.08272683361853245,0.4413569047774387,52.67949833175586,0.35863007115890627,84,19,2.9130424549666603,Dec16-Mar17,Dec-Mar
2016-12-05,PHP,0,2016-12-21,2017-03-15,0.06393823332634267,0.40185178995153364,52.611879071417846,0.33791355662519096,84,16,2.749270976825821,Dec16-Mar17,Dec-Mar
2016-12-06,PHP,0,2016-12-21,2017-03-15,0.059262850680663344,0.3971571647098653,52.71844567283633,0.33789431402920195,84,15,2.743807052652425,Dec16-Mar17,Dec-Mar
