obs_date,ccy,near_date,far_date,near_pts,far_pts,spot,imm_spread_pts,leg_days,days_to_near,ann_pct,pair,quarter_pair
2016-08-29,THB,2016-09-21,2016-12-21,-0.021154321581380475,-0.10485185479466844,33.11111204042162,-0.08369753321328796,91,23,-1.0006392973288842,Sep16-Dec16,Sep-Dec
2016-08-30,THB,2016-09-21,2016-12-21,-0.019528697068875556,-0.10030648949013354,33.246609997536915,-0.08077779242125799,91,22,-0.9617471200702955,Sep16-Dec16,Sep-Dec
2016-08-31,THB,2016-09-21,2016-12-21,-0.018205901304073895,-0.09709814028839409,33.28950172627259,-0.07889223898432018,91,21,-0.9380493229196611,Sep16-Dec16,Sep-Dec
2016-09-01,THB,2016-09-21,2016-12-21,-0.01788230819181015,-0.09566908945746913,33.2728053658181,-0.07778678126565898,91,20,-0.9253605108418593,Sep16-Dec16,Sep-Dec
2016-09-02,THB,2016-09-21,2016-12-21,-0.015890159775002702,-0.08861341682631603,33.11039870458291,-0.07272325705131333,91,19,-0.8693176426298658,Sep16-Dec16,Sep-Dec
2016-09-05,THB,2016-09-21,2016-12-21,-0.013368649547745498,-0.0865599093725994,33.049113306152634,-0.0731912598248539,91,16,-0.8764683347540488,Sep16-Dec16,Sep-Dec
2016-09-06,THB,2016-09-21,2016-12-21,-0.013479395382797577,-0.0925886047215374,33.05578752954517,-0.07910920933873983,91,15,-0.9471478451239304,Sep16-Dec16,Sep-Dec
2016-09-07,THB,2016-09-21,2016-12-21,-0.01211047994343094,-0.088332436876039,33.163304438778844,-0.07622195693260807,91,14,-0.9095823589808137,Sep16-Dec16,Sep-Dec
2016-09-08,THB,2016-09-21,2016-12-21,-0.011360572772937044,-0.08857195637948038,33.08833842668953,-0.07721138360654334,91,13,-0.9234568792937723,Sep16-Dec16,Sep-Dec
2016-09-09,THB,2016-09-21,2016-12-21,-0.010696541748730352,-0.08967853869143792,33.06839210337927,-0.07898199694270758,91,12,-0.9451846123362074,Sep16-Dec16,Sep-Dec
2016-09-12,THB,2016-09-21,2016-12-21,-0.007609137884533348,-0.08295058006251564,32.971526267519366,-0.07534144217798229,91,9,-0.9041827638253328,Sep16-Dec16,Sep-Dec
2016-09-13,THB,2016-09-21,2016-12-21,-0.007319225950774841,-0.08916233029105289,32.854362257519334,-0.08184310434027804,91,8,-0.9857049170546806,Sep16-Dec16,Sep-Dec
2016-09-14,THB,2016-09-21,2016-12-21,-0.006475448102537267,-0.08941741690226816,32.91818788359546,-0.0829419687997309,91,7,-0.9969766082991869,Sep16-Dec16,Sep-Dec
2016-09-15,THB,2016-09-21,2016-12-21,-0.006413975539407908,-0.08781674948708536,32.941401186007845,-0.08140277394767745,91,6,-0.9777837465761935,Sep16-Dec16,Sep-Dec
2016-09-16,THB,2016-09-21,2016-12-21,-0.00618970121862652,-0.08400293006495303,32.899714720751106,-0.07781322884632651,91,5,-0.9358454391707577,Sep16-Dec16,Sep-Dec
2016-09-19,THB,2016-09-21,2016-12-21,-0.006213047560541693,-0.08219163533756099,32.84196376755714,-0.0759785877770193,91,2,-0.9153883385433434,Sep16-Dec16,Sep-Dec
2016-09-20,THB,2016-09-21,2016-12-21,-0.006248838327991364,-0.08195133679861312,32.78299382770504,-0.07570249847062176,91,1,-0.9137039435403943,Sep16-Dec16,Sep-Dec
