,final_change,long_MAE,short_MAE
Sep17-Dec17,-7.0671290505819115,-7.0671290505819115,-38.279199340396445
Sep18-Dec18,4.131423462902433,0.0,-23.007761711352714
Sep19-Dec19,-8.221277592709441,-8.221277592709441,-35.777558373457566
Sep20-Dec20,-23.9463155761739,-45.224338873324,-4.538035852078451
Sep21-Dec21,-5.745089055565842,-10.515010379911644,-36.70447122247887
Sep22-Dec22,-10.208026414283864,-15.877170823242892,-19.373918657972695
Sep23-Dec23,7.849236736846336,-4.186451658866815,-20.94070600395264
Sep24-Dec24,-73.11745569370477,-75.42238589631833,-0.0
Sep25-Dec25,-12.571717240770965,-12.571717240770965,-18.118705852371363
Sep26-Dec26,-10.606993872731238,-15.09386286135313,-12.535844827532657
MEDIAN,-9.214652003496653,-11.543363810341305,-20.157312330962668
WORST,-73.11745569370477,-75.42238589631833,-38.279199340396445
