,final_change,long_MAE,short_MAE
Sep17-Dec17,0.01877878379612541,-0.016687746590872687,-0.1344772542736119
Sep18-Dec18,0.018073974164340867,-0.0801805265975084,-0.08998259761392391
Sep19-Dec19,-0.19188793211857647,-0.19188793211857647,-0.09405424646748806
Sep20-Dec20,-0.2522945137264401,-0.2522945137264401,-0.0
Sep21-Dec21,-0.17848179791006524,-0.20699702544516607,-0.000979698452496791
Sep22-Dec22,-0.11163541751142991,-0.15526416889696204,-0.0018281522752590096
Sep23-Dec23,-0.047728262300745006,-0.20630290665913154,-0.003258853085022162
Sep24-Dec24,-0.13577995837639234,-0.2001573610132653,-0.0
Sep25-Dec25,-0.04800270372495907,-0.061329021214393986,-0.033947167943319534
Sep26-Dec26,0.2035844489513634,-0.04117835038270101,-0.24314873626056055
MEDIAN,-0.07981906061819449,-0.17357605050776925,-0.018603010514170848
WORST,-0.2522945137264401,-0.2522945137264401,-0.24314873626056055
