,final_change,long_MAE,short_MAE
Sep17-Dec17,-0.8525985530592151,-1.012567001715362,-1.8047175247032032
Sep18-Dec18,1.1681104394172404,0.0,-2.8788828762633667
Sep19-Dec19,0.3419224321607335,-1.1118137095663503,-1.2669355715956883
Sep20-Dec20,-0.4552626620777591,-1.5027375299981158,-1.0593598521462726
Sep21-Dec21,-0.6441247785714859,-1.7995699434976387,-0.0
Sep22-Dec22,-2.4114656265167325,-2.4114656265167325,-0.294743646654132
Sep23-Dec23,-2.767965341003014,-3.4923593156037582,-0.0
Sep24-Dec24,1.745667399008348,-0.25722912739056747,-1.9004682123161143
Sep25-Dec25,-1.3094251555672423,-1.6159161183237887,-1.1675853576026896
Sep26-Dec26,-2.6671288531268824,-3.2024692772076047,-0.0
MEDIAN,-0.7483616658153505,-1.5593268241609524,-1.113472604874481
WORST,-2.767965341003014,-3.4923593156037582,-2.8788828762633667
