,final_change,long_MAE,short_MAE
Sep17-Dec17,-0.01270545532871914,-0.038821926982161054,-0.036701798120875095
Sep18-Dec18,0.0023651379080035784,0.0,-0.08150987408031762
Sep19-Dec19,0.00017149159822860138,-0.0013421545797861478,-0.08372436066643812
Sep20-Dec20,-0.05933037280758227,-0.08899594709464761,-0.004761541588909568
Sep21-Dec21,0.014868522221473557,-0.007636463384050357,-0.05723999255301426
Sep22-Dec22,0.0013352861771986357,-0.024081302303922525,-0.030252125280690434
Sep23-Dec23,-0.0003889172200346458,-0.018987131803228308,-0.042634101956534
Sep24-Dec24,-0.009325022601319288,-0.029861068079500896,-0.037977991381475174
Sep25-Dec25,0.04685821982653521,-0.010703368326910212,-0.06008646310277288
Sep26-Dec26,-0.03521443969864757,-0.04236002232279029,-0.011749977320080318
MEDIAN,-0.0001087128109030222,-0.021534217053575416,-0.040306046669004586
WORST,-0.05933037280758227,-0.08899594709464761,-0.08372436066643812
