,final_change,long_MAE,short_MAE
Sep17-Dec17,-0.040558331445872425,-0.043870537157265715,-0.002468209030408272
Sep18-Dec18,0.0550453678135773,-0.023551110892449392,-0.0550453678135773
Sep19-Dec19,-0.002768805266206341,-0.018885312160987835,-0.01839124793376177
Sep20-Dec20,0.015601631146662631,-0.028404463270415722,-0.019738986444445536
Sep21-Dec21,-0.023158384794456796,-0.053425355383526454,-0.0037241141688283824
Sep22-Dec22,-0.005827834493490863,-0.056434166834936295,-0.003621366586006383
Sep23-Dec23,-0.01841928453236205,-0.0497543015711696,-0.0002662195899523906
Sep24-Dec24,0.023959904027479675,-0.03295372384948922,-0.030192658076035273
Sep25-Dec25,0.009962420878521415,-0.011079112468073624,-0.024320516742863688
Sep26-Dec26,-0.029792564337962214,-0.04306126379701244,-0.0
MEDIAN,-0.004298319879848602,-0.03800749382325083,-0.011057681051295076
WORST,-0.040558331445872425,-0.056434166834936295,-0.0550453678135773
