,final_change,long_MAE,short_MAE
Sep17-Dec17,0.02514052515658266,-0.015678605281624222,-0.04212379019386859
Sep18-Dec18,0.024251618823898938,-0.03156913651544739,-0.026653928645097705
Sep19-Dec19,0.08149199696244133,-0.031157491910977636,-0.08149199696244133
Sep20-Dec20,0.05781172837663459,-0.0061269427294652345,-0.05885094817562661
Sep21-Dec21,0.0021998234476099943,-0.019305920403066182,-0.015721957573882978
Sep22-Dec22,0.03772402127185032,-0.020333177922291168,-0.04424508254242879
Sep23-Dec23,-0.005068018626725193,-0.03786801280650384,-0.00573696950064484
Sep24-Dec24,0.020697787452326324,-0.015343890429943663,-0.05174036328325261
Sep25-Dec25,0.019373378374036354,-0.030538347022211976,-0.030384446356206157
Sep26-Dec26,-0.026060888408828503,-0.055676501053933736,-9.311649098753261e-05
MEDIAN,0.02247470313811263,-0.025435762472251572,-0.03625411827503737
WORST,-0.026060888408828503,-0.055676501053933736,-0.08149199696244133
