_dtn,Sep17-Dec17,Sep18-Dec18,Sep19-Dec19,Sep20-Dec20,Sep21-Dec21,Sep22-Dec22,Sep23-Dec23,Sep24-Dec24,Sep25-Dec25,Sep26-Dec26
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.007617645952021412,0.0019158139246524541,-0.01634421760439775,-0.006045611956264407,0.000979698452496791,0.001479924216315709,-0.03351943534111812,-0.009460415666840971,-0.008120742906125189,-0.005641808764150769
118,-0.01008911355950981,-0.008843474517547856,0.003208285218998519,-0.020564604471658088,-0.0357445155751821,0.0018281522752590096,-0.05160419961228979,-0.018231484001900444,0.0031044333532590507,-0.003212725484260326
117,0.007066989216903519,0.009238509258418626,-0.002273512205667849,-0.02247425781585033,-0.024312959713262527,-0.00992646511545714,-0.03339981984661633,-0.009122320950720297,0.007545480968102147,-0.008376136893812558
114,0.0032342322779395083,0.018752787963113304,-0.010464278489516587,-0.04127887197062852,-0.026003178116450254,-0.005101145828724896,-0.04596597692707838,-0.02445735811448202,0.017391795870097315,-0.017111907342929333
113,-0.008548661739251284,0.020678927832341154,-0.013743868581364671,-0.019261379325994366,-0.031149352364658434,-0.022724754706004546,-0.0995211155052349,-0.01904902337849923,0.03145840027893043,-0.013999047061102887
112,-0.008164497011671878,0.004102619409410702,-0.012894948594977862,-0.04446163312052431,-0.07029592646943916,-0.045434985457208255,-0.09503860365994021,-0.05502439776173795,0.01310543420537047,-0.019839483158142657
111,0.010188050294409945,0.0028644704867342163,-0.014076964925608504,-0.05553479248006776,-0.04919241525501894,-0.0499293453969627,-0.10268232753194084,-0.021972672048318875,0.0008368431967191725,-0.04117835038270101
110,0.00889595073011562,-0.008519272753692464,0.0013213987848705866,-0.0790565862800412,-0.023084001846287894,-0.05846339607129991,-0.13429921730896266,-0.02944682703485646,0.000178274098690423,-0.03630099352202709
107,0.013566581473095307,-0.010778575204241303,-0.027976510540971056,-0.04501936694652553,-0.03426765552785027,-0.05112582877335625,-0.1393219059204659,-0.05806788883126601,-0.011368557048604067,-0.03626907734881424
106,0.037078300394546404,0.0010621033741484709,-0.020994608894217004,-0.05148278131440409,-0.07041378542175414,-0.06130255266850981,-0.16180115561039932,-0.06832621933449268,-0.031210563434002192,-0.02634499639796839
105,0.05931836543039748,-0.0007992084750718664,-0.02441466901739986,-0.04965039185505682,-0.05931819246411463,-0.08089636817200918,-0.1684426468420478,-0.0555231514357295,-0.024654574280329355,-0.007087762330483582
104,0.059900362925617845,0.004273406994548035,0.007438374046563556,-0.058548149111292025,-0.037400304802567286,-0.09288760189381517,-0.18020135562739958,-0.06518734611895693,-0.02254049323549534,0.004351090310958372
103,0.07264532472075735,-0.008655428414620747,0.015392646280441902,-0.06241448776764269,-0.06934537356216897,-0.08233566810349058,-0.169550828533239,-0.06912488393052219,-0.01505322650935148,0.011281617468268945
100,0.061631620186767155,-0.031866088965028405,-0.010622076057060337,-0.08092281962830516,-0.09652136204184791,-0.0867870087330882,-0.18576668437672794,-0.06187778718043557,-0.005928569702588371,0.019982611053428023
99,0.05030831919770817,-0.005955241245637621,0.0037376302552103446,-0.07078680340813448,-0.06575451204055027,-0.12407682901164863,-0.18939674036297438,-0.075580230167271,0.011474794740153782,0.028092356525480033
98,0.03573164924250172,-0.031218693715637125,0.04029383070830228,-0.05170420156628386,-0.059422026206916057,-0.10354149002440194,-0.20630290665913154,-0.06013715522450891,0.0057081783289941734,0.03462405638425503
97,0.033961068298510644,-0.03087858024939516,0.03938315204040599,-0.06386988598599075,-0.08417371898488257,-0.09895528456059866,-0.1902460997351504,-0.0653275263593942,-0.01523113914678309,0.027107349621308563
96,0.03344192542069513,-0.04096533197363683,0.03753214887612266,-0.09345651521563925,-0.06236700419846031,-0.127333601463266,-0.17562265549476286,-0.06627948304714693,-0.022695024779904482,0.04931216468097277
93,0.03910942385431837,-0.02953131870957948,0.06516590118945076,-0.10064394530590559,-0.05233653121843829,-0.1240514226235363,-0.1754985749975705,-0.10634038355574227,-0.03763852161948422,0.047937430842351025
92,0.014519450278654977,-0.03241961855590603,0.052977197775986085,-0.10033165308945269,-0.04754449401416916,-0.1293722408800032,-0.19031762612079084,-0.08930426584439044,-0.04276457233476527,0.04544775787985644
91,0.012599464505466118,-0.0801805265975084,0.07062207353713923,-0.11024471823586379,-0.05863801474390473,-0.1203818959564178,-0.1565102078620283,-0.07417834319380923,-0.04379978584300526,0.02400694369594092
90,0.021280561780850027,-0.06247053144999848,0.05675336682674592,-0.118455473159786,-0.0490213357718825,-0.0871390851532654,-0.13882496280825907,-0.05742902273069028,-0.027775963463081643,0.01156418048551
89,0.007626945841994415,-0.0771740423065499,0.07702820520305154,-0.1563627903117153,-0.07346600648182089,-0.07005026955353233,-0.1197266383859118,-0.026138037449027096,-0.034998827981516545,0.03881638968571066
86,-0.0006892095616404248,-0.07824118781139966,0.09210881639863921,-0.15161153394049798,-0.09683810005421356,-0.0826097591721544,-0.12818957456906377,-0.022712582371942402,-0.030386064719532868,0.05782685117384756
85,-0.014378232509898337,-0.07710026347123955,0.07336314944109157,-0.17563255236260988,-0.09650703020121054,-0.08639926487431882,-0.12535088714930032,-0.027182998581883222,-0.021643047434315,0.076421685141417
84,0.012438994144203797,-0.06737371095393696,0.09405424646748806,-0.16429079113692513,-0.09848789669719349,-0.05907475765435177,-0.11859996966883013,-0.01937238569753319,-0.02535676345006821,0.05575127310101591
83,0.03199834213896868,-0.04908320367351937,0.06455999849424376,-0.12390947267305852,-0.1126839473886867,-0.056831353078235614,-0.12472750501034358,-0.01782165554565629,-0.01792873772742898,0.06495498585254
82,0.03933871732104233,-0.03221708610149898,0.05302749156364772,-0.13031777029686853,-0.1147539502265642,-0.057129369774400085,-0.08461331778509151,-0.05781385109942527,0.009434087391288815,0.06611702042201562
79,0.058125169636899066,-0.025939977707587047,0.031019008992636987,-0.12813734585223435,-0.11589856227408668,-0.03723431731724014,-0.086706170851655,-0.06855120089453226,-0.004652835563940139,0.05605612973039242
78,0.049604993688005194,-0.012983300858626423,0.04787432335813113,-0.12997635290172438,-0.09486937705512588,-0.05748099830716935,-0.08641943923900075,-0.08950641307481444,-0.011721335592395632,0.08719197640442744
77,0.0676154428019351,0.004844427930141615,0.04305196435100589,-0.12612425103377,-0.08930212016315187,-0.0693770307924162,-0.12612859212959837,-0.0803390813560626,-0.013264492104371195,0.10100525462721877
