_dtn,Sep17-Dec17,Sep18-Dec18,Sep19-Dec19,Sep20-Dec20,Sep21-Dec21,Sep22-Dec22,Sep23-Dec23,Sep24-Dec24,Sep25-Dec25,Sep26-Dec26
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,-0.05949038242557547,-0.22568369421113177,-0.45827715757691223,-0.044161153774898376,0.23892556587284242,-0.20610310398316822,-0.0036591447869134264,-0.19345536683884612,-0.29494833449679825,0.3433273072947811
118,0.22897153082672395,-0.46072982821966635,-0.5839771173862962,0.1158540555262807,0.08306680304178915,-0.21396752524711737,-0.0093277314874336,0.09760520978716825,-0.5720826886942789,0.13993138901879876
117,0.27570186628724924,-0.6462117708422352,-0.4251033868151981,-0.061837244941855385,0.04542623234847731,-0.17883044438086682,-0.11848731844957205,-0.2194013738590388,-0.6071870340718477,0.5920112470316181
114,-0.0867558929266421,-0.49852031412053854,-0.30646174958264183,-0.516348863665602,0.15369570865233895,-0.13915793554092237,-0.4059631284488314,-0.5637947910788381,-0.8215097543972478,0.44569318216664344
113,-0.2681242387825309,-0.12724779879020742,-0.6070112182595184,-0.5984603579858143,0.2029377294882333,-0.24517363712688356,-0.7894319346930132,-0.6495282345552953,-0.6650997237599892,0.4942708287791491
112,-0.5946499824172107,0.443391744216481,-0.15728549339213282,-0.675976473734371,0.05374243000172152,-0.32348580864482224,-0.653454069890175,-0.8510196177742175,-0.4259860142172962,0.7881018666891699
111,-0.8124049154092612,0.2820962250878636,-0.4888214017072059,-0.8227768599177601,-0.405707879150603,-0.030809823141446424,-0.969214391153054,-0.7974990822029606,-0.3583977481200269,0.8019234498901713
110,-0.8610504767520344,-0.05141347383569528,-0.27984737433243545,-0.8276212631681253,-0.415673631995388,-0.3538462725328766,-0.9779242933733454,-0.8461935123652831,-0.2040174769107994,0.8246875993325187
107,-0.5075092990070695,-0.2609328101472985,-0.11899787665793937,-0.7224132963885739,-0.42314500803013866,-0.3642282361733393,-1.2400250204110081,-0.9594699551994568,-0.4928550704162389,0.4448200710510686
106,-0.8850926037648534,-0.2533373579992464,0.005333291101495163,-0.305254538118122,-0.3086186456945983,-0.5215094202712343,-0.9551660712321781,-1.0652525715124974,-0.48462455683646577,-0.018859150624862764
105,-0.7449461679356206,-0.26877750484470875,0.2139129713119976,-0.26648806014195686,-0.5420121103393383,-0.6043145610731611,-1.0237913315514737,-0.9316759518271116,-0.3266054233093454,-0.2734501585390814
104,-0.629718159585146,-0.07843560906013325,-0.06503576657229004,-0.24036201694982767,-1.040245909934578,-0.2703814672221653,-1.0825283859722092,-1.0686206052145009,-0.3106395839273346,-0.4713555461667869
103,-0.34070314534356827,-0.10505280561688446,-0.10643707180389939,-0.2802004835280883,-0.6165414920127468,-0.18667110945815102,-1.1647315269322196,-1.149415341210942,-0.22457697927196651,-0.611947642298108
100,-0.3627352304629605,-0.3207120509382775,-0.29102670073757686,-0.6382428372948517,-0.7397386358904505,0.10640224367828893,-0.9738832806152173,-1.038461647565792,-0.34088848026428,-0.6407593461616836
99,-0.538837674720738,-0.5185396100662998,0.05954439903378628,-0.44729581850997985,-1.0052159113216903,0.022842129038818992,-1.1319447383480428,-1.1420893697060892,-0.17715645584058648,-0.6322791431495507
98,-0.5243405997484767,-0.5334305370795578,0.156548794361568,-0.6729899758257545,-0.818617427714257,-0.30180676344698865,-1.3988283228268634,-1.2769222080279599,0.09398062022651055,-0.14340104878118876
97,-0.32923737870293124,-0.8833673943422875,0.08002363188374195,-0.26700854963759607,-0.7855648167441145,-0.537911792943274,-1.5365855875519214,-1.216112929649937,-0.20671989837635607,0.11183383794448876
96,-0.09157018505930159,-0.9600852653292231,-0.1061599004172975,-0.3907681241351912,-0.7363606430929619,-0.5024748209093504,-1.8433931619935953,-1.1955189086006612,-0.17745187876981383,0.4204289881464982
93,-0.013809305929552984,-1.0009158767534736,0.18377638395679252,-0.47466531555582553,-1.0298418074283897,-0.319966342497378,-1.6402796308624001,-1.1628905670982617,-0.2593869080033864,1.0354837130932215
92,-0.20680062964075008,-0.914150634213839,0.17441597073256077,-0.4285784406927028,-0.904030674305365,0.035328783945698494,-1.7432784725450323,-1.1848718463261938,-0.4186900365944881,0.8810906678227699
91,-0.09459363032181889,-1.0846604657885592,0.09993021525813273,-0.48796314231239835,-1.0992469858374379,-0.08544733657836068,-1.7886270996328109,-1.283120017640503,-0.8248760575653642,0.7479479795004931
90,-0.35187270876301957,-1.3253539378942256,0.031031714009929434,-0.6041559432366317,-0.9191920235574833,-0.029762391885041595,-1.494368507190103,-1.5568185744683927,-0.9465381423660115,0.6617114740021055
89,-0.26873164156034113,-1.2442599896725253,0.3492435884731604,-0.6407944485869144,-1.5685356035134677,-0.039970961648052805,-1.7578492925624711,-1.4912251837186687,-1.1541034105344687,0.6134041621737669
86,0.06791389272990012,-0.8915160504413662,0.2289790343965281,-0.3184729052238661,-1.5764041177750454,0.2587314125685879,-1.6405520281580892,-1.2330586982805367,-1.236608717197377,0.39131831300871545
85,-0.04512642108268761,-0.9447099373414218,0.2322213474197401,-0.3609402979823764,-1.2027254112788297,0.32382386198214536,-1.5457074720805373,-1.3170787836793199,-1.2876359707965896,0.3751712727217318
84,0.006524153524465781,-0.9098263017221804,0.6195633412964296,0.15102710304501188,-1.2299064660211592,0.5469326902371913,-1.40131968458733,-0.8091119925898398,-1.5246768380790356,0.6357002734315933
83,-0.0900041060536636,-0.9676126311769802,0.642516377893346,0.3060699710204585,-1.6157403937702637,0.5431623037665564,-1.5867815386113222,-1.0116509503300946,-1.6058919884337115,0.3249653200853051
82,-0.07167835599069328,-0.735950488954507,0.7196800115991779,0.043245542605869325,-1.9334966163906186,0.6978909332447056,-1.5608790916321835,-1.1479966205961414,-1.7255269618150662,0.23320444210231672
79,-0.43016885491260526,-0.9184282455750858,1.0549201836613173,-0.04631016754136108,-2.0308497400228323,0.9305109093162116,-1.4600581266239072,-1.3549501949639047,-1.6523570623075807,-0.09870654585952687
78,-0.5276657710228525,-1.0116988861616685,1.2031181980955168,0.007594298843591196,-2.3369120778198584,0.9333171804262232,-1.4518504094666107,-1.1908113361247228,-1.5355971174849552,-0.12924613325661438
77,-0.9584552198409957,-1.0465494073205956,1.4543358589523496,-0.2333853663610589,-2.367398999680368,1.1606949032056875,-1.360020819202846,-0.6958150852265894,-1.326073916618048,-0.0763501960283488
