obs_date,jump_pts,jump_ann_pct,days_to_turn,year
2016-08-29,3.247189163737796,8.000000000000046,124,2016
2016-08-30,3.2500295783139332,8.000000000000115,123,2016
2016-08-31,-1.6813137332048302,-4.133333333333304,122,2016
2016-09-01,3.2729699008714785,8.000000000000153,121,2016
2016-09-02,3.278286422314234,7.999999999999935,120,2016
2016-09-05,3.2666084153615333,7.999999999999982,117,2016
2016-09-06,3.257068499614396,8.000000000000098,116,2016
2016-09-07,3.2564663611782416,7.9999999999999645,115,2016
2016-09-08,3.2682223740079808,8.000000000000094,114,2016
2016-09-09,3.2701570457666786,8.000000000000087,113,2016
2016-09-12,3.273329138153665,7.999999999999908,110,2016
2016-09-13,3.263778329595842,7.999999999999973,109,2016
2016-09-14,3.26496988583948,8.000000000000025,108,2016
2016-09-15,3.2647981966986244,8.000000000000075,107,2016
2016-09-16,3.254640935025362,8.0000000000002,106,2016
2016-09-19,3.260278294661366,8.000000000000174,103,2016
2016-09-20,3.288958017024071,7.999999999999953,102,2016
2016-09-21,3.290285731132334,8.000000000000139,101,2016
2016-09-22,3.283512868084866,8.000000000000005,100,2016
2016-09-23,3.2848676464013997,8.000000000000137,99,2016
2016-09-26,3.2885946060995805,8.000000000000073,96,2016
2016-09-27,3.295530890006799,8.000000000000036,95,2016
2016-09-28,3.2973216729988715,7.9999999999999645,94,2016
2016-09-29,3.2987053641567754,7.999999999999982,93,2016
2016-09-30,3.2760744657401397,8.000000000000055,92,2016
2016-10-03,3.283981320565672,8.00000000000014,89,2016
2016-10-04,3.2808761838141876,8.0,88,2016
2016-10-05,3.3150367951292647,8.000000000000004,87,2016
2016-10-06,3.3306012200913115,7.9999999999999085,86,2016
2016-10-07,3.33926162023217,7.99999999999996,85,2016
2016-10-10,3.320485625760712,8.000000000000078,82,2016
2016-10-11,3.298887089400633,7.9999999999999725,81,2016
2016-10-12,3.2678329268871553,7.999999999999953,80,2016
2016-10-13,3.2490622444155903,7.999999999999863,79,2016
2016-10-14,3.259611821674917,7.999999999999997,78,2016
2016-10-17,3.264295468018925,7.999999999999989,75,2016
2016-10-18,3.2713645870707597,8.000000000000165,74,2016
2016-10-19,3.2717126060212376,8.000000000000053,73,2016
2016-10-20,3.2865127641437963,8.000000000000025,72,2016
2016-10-21,3.2764623396311787,8.00000000000001,71,2016
2016-10-24,3.255545937059967,7.999999999999894,68,2016
2016-10-25,3.2808076581454215,7.999999999999896,67,2016
2016-10-26,3.2834682450024233,8.000000000000027,66,2016
2016-10-27,3.29476821995045,8.00000000000009,65,2016
2016-10-28,3.290650440294056,7.999999999999943,64,2016
2016-10-31,-1.6977748995960174,-4.133333333333311,61,2016
2016-11-01,3.2861536750443863,8.00000000000008,60,2016
2016-11-02,3.2992285199994313,7.999999999999955,59,2016
2016-11-03,3.29137274760516,8.000000000000034,58,2016
2016-11-04,3.3033108282307957,8.00000000000011,57,2016
2016-11-07,3.2966015289889286,8.000000000000009,54,2016
2016-11-08,3.3128397484711622,8.000000000000105,53,2016
2016-11-09,3.3029391892704743,8.000000000000115,52,2016
2016-11-10,3.3183686239845818,8.00000000000001,51,2016
2016-11-11,3.309036406985575,8.000000000000016,50,2016
2016-11-14,3.31516788541108,7.999999999999982,47,2016
2016-11-15,3.293964496145454,7.999999999999924,46,2016
2016-11-16,3.310449995819406,8.000000000000068,45,2016
2016-11-17,3.343686212742856,8.000000000000009,44,2016
2016-11-18,3.3370090147644245,8.00000000000002,43,2016
2016-11-21,3.343763388866658,8.000000000000023,40,2016
2016-11-22,3.3559999661095286,7.999999999999967,39,2016
2016-11-23,3.35038411633537,7.9999999999999085,38,2016
2016-11-24,3.338850733943043,8.000000000000112,37,2016
2016-11-25,3.3314262565045842,8.000000000000012,36,2016
2016-11-28,3.3247710555019285,8.000000000000085,33,2016
2016-11-29,3.3218036929399277,8.000000000000034,32,2016
2016-11-30,3.3313051220848156,7.999999999999999,31,2016
2016-12-01,-0.8563588460540537,-2.0645161290322687,30,2016
2016-12-02,3.3234778866992514,7.999999999999995,29,2016
2016-12-05,3.3285017569473894,8.000000000000005,26,2016
2016-12-06,3.3313925367659287,8.00000000000001,25,2016
2016-12-07,3.2954980314165034,7.999999999999987,24,2016
2016-12-08,3.300172343549068,8.000000000000016,23,2016
2016-12-09,3.286747693020615,7.999999999999963,22,2016
2016-12-12,3.2849138440083827,7.999999999999968,19,2016
2016-12-13,3.2732463603181117,8.000000000000023,18,2016
2016-12-14,3.2532789579160095,8.000000000000012,17,2016
2016-12-15,3.248333173693524,7.999999999999993,16,2016
2016-12-16,3.253486892675191,7.999999999999983,15,2016
2016-12-19,3.250827033237092,7.99999999999999,12,2016
2016-12-20,3.255997057280055,8.000000000000005,11,2016
2016-12-21,3.2254688559675797,8.000000000000004,10,2016
2016-12-22,3.2345377758597804,7.9999999999999964,9,2016
2016-12-23,3.220981094187847,7.999999999999985,8,2016
