obs_date,jump_pts,jump_ann_pct,days_to_turn,year
2016-08-29,0.010481643410773706,4.999999999999998,124,2016
2016-08-30,0.010465695747085819,5.000000000000079,123,2016
2016-08-31,0.010455904072112278,4.999999999999963,122,2016
2016-09-01,0.010441369567220901,5.000000000000105,121,2016
2016-09-02,0.010509541523439898,5.000000000000194,120,2016
2016-09-05,0.010470137016056686,5.0000000000002025,117,2016
2016-09-06,0.010447883745103418,5.000000000000109,116,2016
2016-09-07,0.01048722036828312,5.0000000000000515,115,2016
2016-09-08,0.01048735595154288,5.000000000000136,114,2016
2016-09-09,0.010509920770438443,5.000000000000172,113,2016
2016-09-12,0.010491673708860493,5.000000000000149,110,2016
2016-09-13,0.01053709531955269,4.999999999999965,109,2016
2016-09-14,0.010587613098633406,5.000000000000053,108,2016
2016-09-15,0.010531855939024911,5.00000000000001,107,2016
2016-09-16,0.0105120606116278,5.000000000000116,106,2016
2016-09-19,0.010482716691734477,5.0000000000001155,103,2016
2016-09-20,0.010545376454033749,5.0000000000001,102,2016
2016-09-21,0.010639064345042812,5.0000000000002975,101,2016
2016-09-22,0.010650427519850693,5.000000000000012,100,2016
2016-09-23,0.010663939247098533,5.000000000000057,99,2016
2016-09-26,0.010589084588721907,5.000000000000031,96,2016
2016-09-27,0.010675605514718084,4.999999999999919,95,2016
2016-09-28,0.01073268189704546,5.0000000000000195,94,2016
2016-09-29,0.010711836760468335,5.000000000000162,93,2016
2016-09-30,0.010633333036502855,5.000000000000156,92,2016
2016-10-03,0.010699600016565024,5.000000000000042,89,2016
2016-10-04,0.01070417445348704,5.000000000000029,88,2016
2016-10-05,0.010781436953615801,5.000000000000133,87,2016
2016-10-06,0.010826674485073531,5.000000000000102,86,2016
2016-10-07,0.010890223989924988,5.000000000000092,85,2016
2016-10-10,0.010872683331362052,5.000000000000078,82,2016
2016-10-11,0.010875225577383673,5.000000000000282,81,2016
2016-10-12,0.010919255828830594,5.000000000000145,80,2016
2016-10-13,0.010910113163632247,5.000000000000049,79,2016
2016-10-14,0.010947411918442866,5.00000000000008,78,2016
2016-10-17,0.010961932689930004,4.999999999999929,75,2016
2016-10-18,0.011000299854324906,5.000000000000015,74,2016
2016-10-19,0.011044875671806422,5.000000000000027,73,2016
2016-10-20,0.011085607168985477,4.999999999999979,72,2016
2016-10-21,0.011106023152043005,4.999999999999931,71,2016
2016-10-24,0.011103437700336305,5.000000000000126,68,2016
2016-10-25,0.011114059898410581,5.000000000000044,67,2016
2016-10-26,0.011131360461774977,4.999999999999975,66,2016
2016-10-27,0.011080994078305772,5.00000000000022,65,2016
2016-10-28,0.011046467642326247,5.000000000000023,64,2016
2016-10-31,0.011052124003943549,5.00000000000008,61,2016
2016-11-01,0.01105338843384379,5.000000000000129,60,2016
2016-11-02,0.011055514965491288,4.9999999999999645,59,2016
2016-11-03,0.011071825484779163,5.000000000000231,58,2016
2016-11-04,0.01095986916262891,5.000000000000187,57,2016
2016-11-07,0.010987411741935257,5.0000000000001705,54,2016
2016-11-08,0.011037593213590578,5.0000000000001155,53,2016
2016-11-09,0.011076353807247787,4.999999999999928,52,2016
2016-11-10,0.011117723453413806,5.000000000000166,51,2016
2016-11-11,0.011167445122316275,5.000000000000018,50,2016
2016-11-14,0.011168562253274143,5.000000000000142,47,2016
2016-11-15,0.011139895011084061,5.000000000000215,46,2016
2016-11-16,0.011164310666791294,5.00000000000011,45,2016
2016-11-17,0.011181936268214511,5.000000000000148,44,2016
2016-11-18,0.011322677620563356,5.00000000000023,43,2016
2016-11-21,0.011266687535807245,5.000000000000222,40,2016
2016-11-22,0.011300762899238979,5.000000000000056,39,2016
2016-11-23,0.011337006503274882,5.000000000000118,38,2016
2016-11-24,0.011369884228870154,5.000000000000009,37,2016
2016-11-25,0.011267032143281367,5.000000000000195,36,2016
2016-11-28,0.011215460779032151,5.000000000000146,33,2016
2016-11-29,0.011239125747393533,5.000000000000307,32,2016
2016-11-30,0.011153437128099328,5.000000000000121,31,2016
2016-12-01,0.011136730323120422,5.000000000000101,30,2016
2016-12-02,0.011163632648847628,5.000000000000037,29,2016
2016-12-05,0.011214802356089544,5.000000000000201,26,2016
2016-12-06,0.011218562184807183,5.0000000000002265,25,2016
2016-12-07,0.011227555155467363,5.000000000000194,24,2016
2016-12-08,0.011222621032707967,5.000000000000073,23,2016
2016-12-09,0.01117489527524378,5.0000000000001865,22,2016
2016-12-12,0.01116355993870928,5.000000000000126,19,2016
2016-12-13,0.011141968160325696,5.000000000000304,18,2016
2016-12-14,0.011199345570382142,5.000000000000295,17,2016
2016-12-15,0.011159416287838094,5.000000000000035,16,2016
2016-12-16,0.011162831732977567,5.000000000000017,15,2016
2016-12-19,,,12,2016
2016-12-20,,,11,2016
2016-12-21,,,10,2016
2016-12-22,,,9,2016
2016-12-23,,,8,2016
2016-12-26,,,5,2016
2016-12-27,,,4,2016
2016-12-28,,,3,2016
2016-12-29,,,2,2016
2016-12-30,,,1,2016
2017-01-02,,,363,2017
2017-01-03,,,362,2017
2017-01-04,,,361,2017
2017-01-05,,,360,2017
2017-01-06,,,359,2017
2017-01-09,,,356,2017
2017-01-10,,,355,2017
2017-01-11,,,354,2017
2017-01-12,,,353,2017
2017-01-13,,,352,2017
2017-01-16,,,349,2017
2017-01-17,,,348,2017
2017-01-18,,,347,2017
2017-01-19,,,346,2017
2017-01-20,,,345,2017
2017-01-23,,,342,2017
2017-01-24,,,341,2017
2017-01-25,,,340,2017
2017-01-26,,,339,2017
2017-01-27,,,338,2017
2017-01-30,,,335,2017
2017-01-31,,,334,2017
2017-02-01,,,333,2017
2017-02-02,,,332,2017
2017-02-03,,,331,2017
2017-02-06,,,328,2017
2017-02-07,,,327,2017
2017-02-08,,,326,2017
2017-02-09,,,325,2017
2017-02-10,,,324,2017
2017-02-13,,,321,2017
2017-02-14,,,320,2017
2017-02-15,,,319,2017
2017-02-16,,,318,2017
2017-02-17,,,317,2017
2017-02-20,,,314,2017
2017-02-21,,,313,2017
2017-02-22,,,312,2017
2017-02-23,,,311,2017
2017-02-24,,,310,2017
2017-02-27,,,307,2017
2017-02-28,,,306,2017
2017-03-01,,,305,2017
2017-03-02,,,304,2017
2017-03-03,,,303,2017
2017-03-06,,,300,2017
2017-03-07,,,299,2017
2017-03-08,,,298,2017
2017-03-09,,,297,2017
2017-03-10,,,296,2017
2017-03-13,,,293,2017
2017-03-14,,,292,2017
2017-03-15,,,291,2017
2017-03-16,,,290,2017
2017-03-17,,,289,2017
2017-03-20,,,286,2017
2017-03-21,,,285,2017
2017-03-22,,,284,2017
2017-03-23,,,283,2017
2017-03-24,,,282,2017
2017-03-27,,,279,2017
2017-03-28,,,278,2017
2017-03-29,,,277,2017
2017-03-30,,,276,2017
2017-03-31,,,275,2017
2017-04-03,0.0113570163853646,4.999999999999832,272,2017
2017-04-04,0.011419977090206698,4.9999999999998455,271,2017
2017-04-05,0.011450979371291681,5.0000000000002025,270,2017
2017-04-06,0.011408608809131152,4.999999999999969,269,2017
2017-04-07,0.011435151239930748,4.999999999999857,268,2017
2017-04-10,0.011356872145809285,4.999999999999898,265,2017
2017-04-11,0.011334858359532381,4.99999999999971,264,2017
2017-04-12,0.01131620345530103,4.999999999999788,263,2017
2017-04-13,0.011291039138514957,4.999999999999699,262,2017
2017-04-14,0.01131474456036014,4.999999999999943,261,2017
2017-04-17,0.011380142810308089,4.999999999999993,258,2017
2017-04-18,0.0113917559102148,4.999999999999882,257,2017
2017-04-19,0.011382348970783697,4.999999999999908,256,2017
2017-04-20,0.011379088286036131,4.99999999999998,255,2017
2017-04-21,0.011387165920213648,5.000000000000114,254,2017
2017-04-24,0.01134132046463283,4.99999999999992,251,2017
2017-04-25,0.011319432852021184,5.000000000000044,250,2017
2017-04-26,0.011319602796970744,4.999999999999859,249,2017
2017-04-27,0.011269389797511855,4.99999999999988,248,2017
2017-04-28,0.011284318919965097,4.9999999999999405,247,2017
2017-05-01,0.011307466623784377,4.999999999999826,244,2017
2017-05-02,0.011274690648781118,4.999999999999859,243,2017
2017-05-03,0.011296118440446206,4.999999999999889,242,2017
2017-05-04,0.01131842766322156,4.999999999999636,241,2017
2017-05-05,0.01132764443114729,4.99999999999985,240,2017
2017-05-08,0.0113009399415551,4.999999999999974,237,2017
2017-05-09,0.011254421890654056,5.000000000000006,236,2017
2017-05-10,0.011259130282956623,5.0000000000002265,235,2017
2017-05-11,0.011286045837786089,5.000000000000121,234,2017
2017-05-12,0.011376412263975485,5.000000000000146,233,2017
2017-05-15,0.011403544841350463,4.999999999999902,230,2017
2017-05-16,0.011375081509723287,4.999999999999746,229,2017
2017-05-17,0.011345177811743308,4.9999999999996785,228,2017
2017-05-18,0.011261985988984227,5.000000000000272,227,2017
2017-05-19,0.011285614964310964,4.999999999999784,226,2017
2017-05-22,0.011275955931008285,4.999999999999799,223,2017
2017-05-23,0.011289319617060053,4.999999999999783,222,2017
2017-05-24,0.011295477650711424,4.999999999999943,221,2017
2017-05-25,0.011344113155924401,4.999999999999808,220,2017
2017-05-26,0.01132243666347797,4.999999999999984,219,2017
2017-05-29,0.011264819846578527,4.999999999999832,216,2017
2017-05-30,0.011251419272070356,5.000000000000059,215,2017
2017-05-31,0.011148701400011896,4.999999999999867,214,2017
2017-06-01,0.011097643277934,5.0000000000001386,213,2017
2017-06-02,0.011055961347528422,5.0000000000002345,212,2017
2017-06-05,0.01107745197355361,5.000000000000114,209,2017
2017-06-06,0.011049428774976285,4.999999999999794,208,2017
2017-06-07,0.01113852147453344,4.999999999999888,207,2017
2017-06-08,0.011186080668678777,4.9999999999999645,206,2017
2017-06-09,0.011170391113372598,4.9999999999999485,205,2017
2017-06-12,0.011150500678238532,5.0,202,2017
2017-06-13,0.011120494774906668,5.000000000000002,201,2017
2017-06-14,0.011100203475657593,4.999999999999811,200,2017
2017-06-15,0.011059533707243977,5.0000000000001465,199,2017
2017-06-16,0.010986447891509684,5.00000000000004,198,2017
2017-06-19,0.011008887952329287,4.999999999999744,195,2017
2017-06-20,0.010938368650045988,4.999999999999768,194,2017
2017-06-21,0.010884975904840333,5.000000000000001,193,2017
2017-06-22,0.010925849206082939,4.999999999999813,192,2017
2017-06-23,0.010955880722268767,4.999999999999761,191,2017
2017-06-26,0.010891016390895309,4.999999999999648,188,2017
2017-06-27,0.010855659661484414,4.99999999999998,187,2017
2017-06-28,0.010913092913600885,4.999999999999987,186,2017
2017-06-29,0.010909568222822973,4.999999999999816,185,2017
2017-06-30,0.010916919063189291,5.000000000000008,184,2017
2017-07-03,0.010940240372723545,5.000000000000066,181,2017
2017-07-04,0.011009700452894495,5.000000000000064,180,2017
2017-07-05,0.011024166786293197,4.99999999999991,179,2017
2017-07-06,0.011098564005728579,5.000000000000097,178,2017
2017-07-07,0.011064630577982088,5.000000000000046,177,2017
2017-07-10,0.011077174462840848,4.999999999999909,174,2017
2017-07-11,0.011072370401389748,4.999999999999881,173,2017
2017-07-12,0.011059346211109752,4.999999999999985,172,2017
2017-07-13,0.0110665093710977,5.000000000000057,171,2017
2017-07-14,0.011030955838007688,4.999999999999885,170,2017
2017-07-17,0.011128791120348033,4.999999999999898,167,2017
2017-07-18,0.01110619642142479,4.999999999999862,166,2017
2017-07-19,0.011064619666936032,5.000000000000241,165,2017
2017-07-20,0.01108997907464466,4.999999999999895,164,2017
2017-07-21,0.011129370658946078,4.999999999999873,163,2017
2017-07-24,0.011126825372859209,5.000000000000005,160,2017
2017-07-25,0.011205501325365425,5.000000000000078,159,2017
2017-07-26,0.011285140029346573,5.000000000000002,158,2017
2017-07-27,0.011312814947993051,5.000000000000089,157,2017
2017-07-28,0.011287890976337324,4.999999999999967,156,2017
2017-07-31,0.011312079807240522,5.000000000000025,153,2017
2017-08-01,0.011426868575502866,5.000000000000011,152,2017
2017-08-02,0.011408067414779465,5.000000000000041,151,2017
2017-08-03,0.011447996309367096,5.000000000000022,150,2017
2017-08-04,0.011513108912455333,5.000000000000039,149,2017
2017-08-07,0.01150680123984886,4.999999999999951,146,2017
2017-08-08,0.011643455725716678,4.999999999999908,145,2017
2017-08-09,0.011602838370356881,5.000000000000003,144,2017
2017-08-10,0.011582804062371563,5.000000000000258,143,2017
2017-08-11,0.011550966291858252,4.999999999999944,142,2017
2017-08-14,0.011517525574818418,4.999999999999951,139,2017
2017-08-15,0.011464563017425641,5.00000000000002,138,2017
2017-08-16,0.011502251157140887,5.00000000000001,137,2017
2017-08-17,0.011526561706207153,5.000000000000092,136,2017
2017-08-18,0.011527207388344651,4.999999999999919,135,2017
2017-08-21,0.011623363013096012,4.999999999999774,132,2017
2017-08-22,0.011569335898148592,5.000000000000022,131,2017
2017-08-23,0.011572070962065811,4.9999999999998535,130,2017
2017-08-24,0.011571416409297396,4.999999999999955,129,2017
2017-08-25,0.011548131339796153,5.000000000000016,128,2017
2017-08-28,0.0115637886587357,5.000000000000094,125,2017
2017-08-29,0.011583205745179577,5.000000000000027,124,2017
2017-08-30,0.011470897157151327,5.000000000000176,123,2017
2017-08-31,0.011447113178386072,4.999999999999932,122,2017
2017-09-01,0.011532623405432697,4.999999999999911,121,2017
2017-09-04,0.011498849381058985,5.000000000000061,118,2017
2017-09-05,0.011533137085295709,5.0000000000001625,117,2017
2017-09-06,0.0115084847278675,4.999999999999944,116,2017
2017-09-07,0.011534437166580043,5.000000000000044,115,2017
2017-09-08,0.01153814266749779,5.000000000000139,114,2017
2017-09-11,0.011542651552973895,5.000000000000129,111,2017
2017-09-12,0.011595644281837247,5.00000000000012,110,2017
2017-09-13,0.011659309620761492,5.000000000000067,109,2017
2017-09-14,0.011653366174812219,4.9999999999999964,108,2017
2017-09-15,0.011654203926269953,4.999999999999923,107,2017
2017-09-18,0.011616770316962413,5.000000000000169,104,2017
2017-09-19,0.01159046293745209,5.00000000000018,103,2017
